device_id,reading_date,voltage,packet_count,alert_email,site_id,signal_strength
SEN-000340,2024-12-24,206.61,332,woltarsn@corp.io,SITE06,28.19
SEN-000341,2024-06-21,121.0,291,yphyapb@outlook.com,SITE06,50.41
SEN-000342,2024-02-14,186.55,443,wrgevws@corp.io,SITE03,33.91
SEN-000343,2024-09-03,133.34,56,iaarw@gmail.com,SITE04,71.43
SEN-000344,2024-01-26,179.5,318,mhmzd@gmail.com,SITE06,75.21
SEN-000345,2024-02-10,198.98,165,lhqb@yahoo.com,SITE01,77.45
SEN-000346,2024-05-28,161.11,95,fftmxlp@gmail.com,SITE03,92.66
SEN-000347,2024-07-07,181.96,359,hied@corp.io,SITE02,27.32
SEN-000348,2024-02-12,181.32,218,nbfjnute@corp.io,SITE04,12.62
SEN-000349,2024-03-13,218.32,264,piibecu@gmail.com,SITE05,34.45
SEN-000350,2024-01-20,138.01,24,qgdhgrd@outlook.com,SITE06,28.6
