device_id,reading_date,voltage,packet_count,alert_email,site_id,signal_strength
SEN-000112,2024-03-22,168.39,322,zacynvr@corp.io,SITE02,37.25
SEN-000113,2024-10-17,106.63,73,vkwuwk@yahoo.com,SITE02,26.59
SEN-000114,2024-02-09,231.91,81,tgxdl@gmail.com,SITE04,19.1
SEN-000115,2024-04-13,195.12,396,hfdekkzo@outlook.com,SITE01,95.96
SEN-000116,2024-09-25,227.96,281,xeixwmor@outlook.com,SITE01,10.98
SEN-000117,2024-01-05,152.97,393,vnkzzelh@outlook.com,SITE04,43.85
SEN-000118,2024-02-20,169.31,318,yckqt@corp.io,SITE04,86.01
SEN-000119,2024-12-12,217.75,463,iusioni@gmail.com,SITE06,88.85
SEN-000120,2024-10-28,218.62,457,yuuktmkf@corp.io,SITE02,61.46
SEN-000121,2024-03-07,199.61,259,cmppdnd@outlook.com,SITE05,31.96
SEN-000122,2024-02-12,106.65,234,isgrjt@yahoo.com,SITE02,47.23
SEN-000123,2024-04-07,105.78,317,ethpztk@yahoo.com,SITE05,60.92
SEN-000124,2024-08-01,210.29,242,efawrou@outlook.com,SITE05,65.79
SEN-000125,2024-12-06,228.64,176,cghzviyz@gmail.com,SITE02,84.41
SEN-000126,2024-09-02,221.51,156,svllii@yahoo.com,SITE06,54.11
SEN-000127,2024-10-17,109.58,376,zvefg@corp.io,SITE01,45.53
SEN-000128,2024-02-22,234.11,218,hllfu@gmail.com,SITE01,87.83
SEN-000129,2024-12-05,130.17,179,bfrl@yahoo.com,SITE03,47.81
SEN-000130,2024-07-03,104.49,58,czvfofbk@corp.io,SITE03,62.8
SEN-000131,2024-01-12,134.92,247,ualisid@gmail.com,SITE01,47.69
SEN-000132,2024-08-18,170.48,468,luemflmx@yahoo.com,SITE04,13.64
SEN-000133,2024-09-14,109.02,188,oixjehv@outlook.com,SITE03,54.68
SEN-000134,2024-01-06,238.91,314,hfhshszf@outlook.com,SITE01,6.51
SEN-000135,2024-08-15,149.03,318,asfk@yahoo.com,SITE01,79.98
SEN-000136,2024-02-22,162.02,212,pmlayqf@yahoo.com,SITE03,3.49
SEN-000137,2024-06-29,238.04,336,qrpnhfmy@corp.io,SITE01,48.83
SEN-000138,2024-03-03,142.55,85,rffdx@outlook.com,SITE05,20.25
SEN-000139,2024-11-20,203.61,408,yftgajld@gmail.com,SITE05,36.65
SEN-000140,2024-11-01,122.44,123,maovlor@outlook.com,SITE01,47.6
SEN-000141,2024-08-13,151.71,381,zytxyd@corp.io,SITE04,39.56
SEN-000142,2024-08-21,184.39,448,bzuglhz@gmail.com,SITE04,19.84
SEN-000143,2024-01-20,229.97,187,sxicu@yahoo.com,SITE06,36.54
SEN-000144,2024-08-16,198.42,458,sedmiyej@outlook.com,SITE01,76.92
SEN-000145,2024-01-18,153.95,36,ksrgwvs@outlook.com,SITE05,38.7
SEN-000146,2024-11-12,233.61,132,azrv@yahoo.com,SITE06,42.86
SEN-000147,2024-03-27,114.62,177,ybwvmddu@yahoo.com,SITE03,26.36
SEN-000148,2024-06-06,115.57,232,tcytvk@yahoo.com,SITE03,60.69
SEN-000149,2024-05-07,164.19,134,knamzzu@corp.io,SITE06,69.02
SEN-000150,2024-06-19,130.42,149,sdwqqmdw@gmail.com,SITE05,77.18
